"X_id","Source_ID","Study_number","Site_number","SS","SSB","SSBS","SSS","Country","Longitd","Latitud","Diversity_metric_type","Predominant_habitat","LU_3","UseIntensity","Sample_start_earliest","Realm","Zone","taxon_of_interest","Total_abundance","log_abundance","Species_richness","Richness_rarefied","CWM_Geographic_range_log10_square_km","range","PropWithData_Geographic_range_log10_square_km","Within_PA","PA","LUPA","IUCN_CAT","IUCN_CAT_number","GIS_AREA","STATUS_YR","DoP","log_AREA_PA","AREA_DoP","elevation","slope","ag_suit","log_slope","log_elevation","multiple_taxa","matched_landuse","hf00","hf05","hf10","hf13","hf09","npp"
1399,"DI1_2010__Milder",1,52,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 52","DI1_2010__Milder 1 52 Plants","Honduras",-89.093188,14.837736,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",16,2.833213344,4,1,5.760500315,5.760500315,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",794.599975,5.340559,2,1.846966935,6.679096516,"yes","no",15,15.5,16,17,16,207.628570556641
1400,"DI1_2010__Milder",1,53,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 53","DI1_2010__Milder 1 53 Plants","Honduras",-89.092222,14.858031,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",15,2.772588722,10,1,5.956666338,5.956666338,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",713.200012,3.03776,2,1.395690083,6.571163052,"yes","no",16,16,18,20,14,207.628570556641
1401,"DI1_2010__Milder",1,54,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 54","DI1_2010__Milder 1 54 Plants","Honduras",-89.083128,14.818282,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",13,2.63905733,2,1,5.669823945,5.669823945,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",847.799987,8.662099,2,2.268210912,6.743823572,"yes","no",14,15,15,15,14,218.914291381836
1402,"DI1_2010__Milder",1,55,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 55","DI1_2010__Milder 1 55 Plants","Honduras",-89.095248,14.882753,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",27,3.33220451,4,1,5.831929652,5.831929652,0.962962963,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",826.799987,3.195669,2,1.434052803,6.718771564,"yes","no",14,14.5,15,18.5,12,207.628570556641
1403,"DI1_2010__Milder",1,56,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 56","DI1_2010__Milder 1 56 Plants","Honduras",-89.064882,14.808173,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",14,2.708050201,2,1,5.80656805,5.80656805,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",1078.599975,2.83539,2,1.344271125,6.984345858,"yes","no",14,15,15,15,14,215.757148742676
1404,"DI1_2010__Milder",1,57,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 57","DI1_2010__Milder 1 57 Plants","Honduras",-89.059036,14.810773,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",13,2.63905733,3,1,5.710786677,5.710786677,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",1083.800048,3.646549,2,1.536124794,6.989150961,"yes","no",11,11,12,12,12,218.914291381836
1405,"DI1_2010__Milder",1,58,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 58","DI1_2010__Milder 1 58 Plants","Honduras",-89.050163,14.875453,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",12,2.564949357,2,1,5.814180867,5.814180867,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",779.400024,3.593009,2,1.524535365,6.65980664,"yes","no",16,16,16,16,14,218.914291381836
1406,"DI1_2010__Milder",1,59,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 59","DI1_2010__Milder 1 59 Plants","Honduras",-89.050622,14.879813,"Abundance","Pasture","Human_dominated","Minimal use","01/07/2008","Neotropic","Tropical","Plants",26,3.295836866,4,1,5.784075171,5.784075171,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",841.799987,5.702559,2,1.902489394,6.736729667,"yes","no",16,16,16,16,13,218.914291381836
1407,"DI1_2010__Milder",1,6,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 6","DI1_2010__Milder 1 6 Plants","Honduras",-89.062909,14.873405,"Abundance","Intermediate secondary vegetation","Secondary","Light use","01/07/2008","Neotropic","Tropical","Plants",21,3.091042453,1,1,5.867867131,5.867867131,1,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",788.200012,4.227749,2,1.653980784,6.671019789,"yes","yes",16,16,16,17,15,218.914291381836
1408,"DI1_2010__Milder",1,60,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 60","DI1_2010__Milder 1 60 Plants","Honduras",-89.102523,14.840497,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",12,2.564949357,6,1,5.993078395,5.993078395,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",888.599975,4.21743,2,1.652004943,6.790771895,"yes","no",15,15,17,17,14,207.628570556641
1409,"DI1_2010__Milder",1,61,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 61","DI1_2010__Milder 1 61 Plants","Honduras",-89.089165,14.82017,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",5,1.791759469,2,1,5.90426485,5.90426485,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",830.599975,7.32552,2,2.119325496,6.723351526,"yes","no",15,15,15.5,15.5,15,218.914291381836
1410,"DI1_2010__Milder",1,62,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 62","DI1_2010__Milder 1 62 Plants","Honduras",-89.094212,14.841802,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",4,1.609437912,2,1,5.971792617,5.971792617,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",794.599975,5.340559,2,1.846966935,6.679096516,"yes","no",15,15,16.5,17,16,207.628570556641
1411,"DI1_2010__Milder",1,63,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 63","DI1_2010__Milder 1 63 Plants","Honduras",-89.103794,14.824013,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",5,1.791759469,1,1,6.521983595,6.521983595,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",766,4.327179,2,1.67282183,6.642486801,"yes","no",15,15,15.5,15.5,12,207.628570556641
1412,"DI1_2010__Milder",1,64,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 64","DI1_2010__Milder 1 64 Plants","Honduras",-89.141066,14.848274,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",8,2.197224577,3,1,5.921300783,5.921300783,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",639.799987,3.588799,2,1.523618334,6.462717375,"yes","no",20,23,20,22,18,196.342849731445
1413,"DI1_2010__Milder",1,65,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 65","DI1_2010__Milder 1 65 Plants","Honduras",-89.052735,14.888108,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",10,2.397895273,2,1,5.921303774,5.921303774,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",922.200012,8.729889,2,2.275202488,6.827845909,"yes","no",16,16,16,16,12,218.914291381836
1414,"DI1_2010__Milder",1,66,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 66","DI1_2010__Milder 1 66 Plants","Honduras",-89.109333,14.900886,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",8,2.197224577,3,1,5.834941428,5.834941428,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",990.799987,4.91555,2,1.777584477,6.899521461,"yes","no",15,15,15,15,11,204.771423339844
1415,"DI1_2010__Milder",1,67,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 67","DI1_2010__Milder 1 67 Plants","Honduras",-89.11759,14.889108,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",8,2.197224577,2,1,6.194925363,6.194925363,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",933.799987,5.5728,2,1.882939921,6.840332589,"yes","no",11,11.5,12,13.5,14,196.342849731445
1416,"DI1_2010__Milder",1,68,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 68","DI1_2010__Milder 1 68 Plants","Honduras",-89.109099,14.889186,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",3,1.386294361,3,1,6.220275607,6.220275607,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",880.599975,3.986649,2,1.606764141,6.78173841,"yes","no",14.5,15,15,15.5,13,207.628570556641
1417,"DI1_2010__Milder",1,69,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 69","DI1_2010__Milder 1 69 Plants","Honduras",-89.059227,14.807347,"Abundance","Pasture","Human_dominated","Light use","01/07/2008","Neotropic","Tropical","Plants",7,2.079441542,2,1,6.488757577,6.488757577,1,"no","OUT","OUT Pasture",0,NA,0,NA,NA,0,"outside",1078.599975,2.83539,2,1.344271125,6.984345858,"yes","no",11,11,12,12,14,215.757148742676
1418,"DI1_2010__Milder",1,7,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 7","DI1_2010__Milder 1 7 Plants","Honduras",-89.059159,14.885502,"Abundance","Intermediate secondary vegetation","Secondary","Light use","01/07/2008","Neotropic","Tropical","Plants",26,3.295836866,1,1,5.867867131,5.867867131,1,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",922.200012,8.729889,2,2.275202488,6.827845909,"yes","yes",16,16,16,16,12,218.914291381836
1419,"DI1_2010__Milder",1,70,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 70","DI1_2010__Milder 1 70 Plants","Honduras",-89.127096,14.836106,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",85,4.454347296,13,1,6.297798128,6.297798128,0.847058824,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",649.799987,5.423289,2,1.859930292,6.478202355,"yes","no",13,16,14,14,12,196.342849731445
1420,"DI1_2010__Milder",1,71,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 71","DI1_2010__Milder 1 71 Plants","Honduras",-89.130582,14.858103,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",31,3.465735903,5,1,6.501216362,6.501216362,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",777.599975,7.893229,2,2.185290201,6.657497403,"yes","no",16,16.5,16,18,13.8641119003296,196.342849731445
1421,"DI1_2010__Milder",1,72,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 72","DI1_2010__Milder 1 72 Plants","Honduras",-89.135637,14.842207,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",28,3.36729583,9,1,6.441253835,6.441253835,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",603,2.106189,2,1.133396573,6.403574198,"yes","no",19.5,23,20,21,16.3641119003296,196.342849731445
1422,"DI1_2010__Milder",1,73,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 73","DI1_2010__Milder 1 73 Plants","Honduras",-89.137592,14.8388,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",31,3.465735903,11,1,6.421466126,6.421466126,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",603,2.106189,2,1.133396573,6.403574198,"yes","no",19.5,23,20,21,15,196.342849731445
1423,"DI1_2010__Milder",1,74,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 74","DI1_2010__Milder 1 74 Plants","Honduras",-89.104974,14.861429,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",23,3.17805383,15,1,6.216843496,6.216843496,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",762.200012,4.269569,2,1.661948576,6.637520136,"yes","no",15,15,17,20,16,207.628570556641
1424,"DI1_2010__Milder",1,75,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 75","DI1_2010__Milder 1 75 Plants","Honduras",-89.059897,14.870278,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",31,3.465735903,8,1,5.96330856,5.96330856,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",744.400024,4.702199,2,1.74085189,6.613921019,"yes","no",15.5,15.5,15.5,15.5,15,218.914291381836
1425,"DI1_2010__Milder",1,76,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 76","DI1_2010__Milder 1 76 Plants","Honduras",-89.061214,14.870058,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",29,3.401197382,15,1,6.187247491,6.187247491,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",744.400024,4.702199,2,1.74085189,6.613921019,"yes","no",16,16,16,17,15,218.914291381836
1426,"DI1_2010__Milder",1,77,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 77","DI1_2010__Milder 1 77 Plants","Honduras",-89.065857,14.868779,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",40,3.713572067,14,1,6.150114086,6.150114086,1,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",767.599975,5.130879,2,1.813338133,6.644570646,"yes","no",16,16,16,17,15.5,218.914291381836
1427,"DI1_2010__Milder",1,78,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 78","DI1_2010__Milder 1 78 Plants","Honduras",-89.066923,14.868579,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",22,3.135494216,11,1,6.296987215,6.296987215,0.954545455,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",767.599975,5.130879,2,1.813338133,6.644570646,"yes","no",16,16,16,17,15.5,218.914291381836
1428,"DI1_2010__Milder",1,79,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 79","DI1_2010__Milder 1 79 Plants","Honduras",-89.079014,14.868958,"Abundance","Young secondary vegetation","Secondary","Minimal use","01/07/2008","Neotropic","Tropical","Plants",28,3.36729583,10,1,5.937460013,5.937460013,0.964285714,"no","OUT","OUT Young secondary vegetation",0,NA,0,NA,NA,0,"outside",777.599975,4.40313,2,1.686978415,6.657497403,"yes","no",15,15,15.5,17.5,16,218.914291381836
1429,"DI1_2010__Milder",1,8,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 8","DI1_2010__Milder 1 8 Plants","Honduras",-89.099455,14.894995,"Abundance","Intermediate secondary vegetation","Secondary","Light use","01/07/2008","Neotropic","Tropical","Plants",46,3.850147602,3,1,5.880911504,5.880911504,1,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",906,4.98742,2,1.789660601,6.81014245,"yes","yes",14.5,14.5,15,15.5,11,204.771423339844
1430,"DI1_2010__Milder",1,80,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 80","DI1_2010__Milder 1 80 Plants","Honduras",-89.088795,14.79902,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",6,1.945910149,2,1,6.087944863,6.087944863,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",1123.599975,7.283249,2,2.114235283,7.025182674,"yes","no",9,10,10,10,11,215.757148742676
1431,"DI1_2010__Milder",1,81,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 81","DI1_2010__Milder 1 81 Plants","Honduras",-89.083334,14.801012,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",4,1.609437912,2,1,5.583208061,5.583208061,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",1123.599975,7.283249,2,2.114235283,7.025182674,"yes","no",9,10,10,10,9.72822380065918,215.757148742676
1432,"DI1_2010__Milder",1,82,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 82","DI1_2010__Milder 1 82 Plants","Honduras",-89.072785,14.793345,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",5,1.791759469,2,1,5.97168585,5.97168585,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",1127,5.507619,2,1.872973644,7.028201432,"yes","no",10.5,10.5,11,11,10,215.757148742676
1433,"DI1_2010__Milder",1,83,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 83","DI1_2010__Milder 1 83 Plants","Honduras",-89.072432,14.792436,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",4,1.609437912,3,1,5.723743862,5.723743862,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",1127,5.507619,2,1.872973644,7.028201432,"yes","no",10.5,10.5,11,11,10,215.757148742676
1434,"DI1_2010__Milder",1,84,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 84","DI1_2010__Milder 1 84 Plants","Honduras",-89.084909,14.799661,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",1,0.693147181,1,1,5.534358539,5.534358539,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",1123.599975,7.283249,2,2.114235283,7.025182674,"yes","no",9.5,10,10,10,10,215.757148742676
1435,"DI1_2010__Milder",1,85,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 85","DI1_2010__Milder 1 85 Plants","Honduras",-89.067356,14.804662,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",5,1.791759469,2,1,6.391160302,6.391160302,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",1099.800048,4.569049,2,1.717224303,7.003792511,"yes","no",11,11,11,11,14,215.757148742676
1436,"DI1_2010__Milder",1,86,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 86","DI1_2010__Milder 1 86 Plants","Honduras",-89.057255,14.843374,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",3,1.386294361,3,1,6.217489309,6.217489309,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",934.799987,4.234119,2,1.65519854,6.841401765,"yes","no",11,11,11,11,7.33946657180786,218.914291381836
1437,"DI1_2010__Milder",1,87,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 87","DI1_2010__Milder 1 87 Plants","Honduras",-89.057555,14.841708,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",7,2.079441542,3,1,5.814479944,5.814479944,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",980.799987,4.246669,2,1.657593399,6.889387608,"yes","no",11,11,11,11,7.33946657180786,218.914291381836
1438,"DI1_2010__Milder",1,88,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 88","DI1_2010__Milder 1 88 Plants","Honduras",-89.060819,14.843098,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",6,1.945910149,5,1,6.142896702,6.142896702,1,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",933.400024,5.27506,2,1.836583047,6.839904638,"yes","no",11,11,11,11,8.62954807281494,218.914291381836
1439,"DI1_2010__Milder",1,89,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 89","DI1_2010__Milder 1 89 Plants","Honduras",-89.058844,14.840558,"Abundance","Plantation forest","Human_dominated","Intense use","01/07/2008","Neotropic","Tropical","Plants",0,0,0,0,NA,NA,NA,"no","OUT","OUT Plantation forest",0,NA,0,NA,NA,0,"outside",933.400024,5.27506,2,1.836583047,6.839904638,"yes","no",11.5,11.5,11.5,11.5,7.9845073223114,218.914291381836
1440,"DI1_2010__Milder",1,9,"DI1_2010__Milder 1 Plants","DI1_2010__Milder 1 Plants NA","DI1_2010__Milder 1 Plants NA 9","DI1_2010__Milder 1 9 Plants","Honduras",-89.073698,14.851205,"Abundance","Intermediate secondary vegetation","Secondary","Light use","01/07/2008","Neotropic","Tropical","Plants",22,3.135494216,1,1,5.867867131,5.867867131,1,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",853.200012,6.451499,2,2.00841522,6.750165372,"yes","yes",12,12,12,12,11.5,218.914291381836
1441,"DI1_2010__Milder",2,1,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 1","DI1_2010__Milder 2 1 Vertebrates","Honduras",-89.062909,14.873405,"Abundance","Intermediate secondary vegetation","Secondary","Light use","01/11/2008","Neotropic","Tropical","Vertebrates",89,4.49980967,32,16,6.437199956,6.437199956,0.966292135,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",788.200012,4.227749,2,1.653980784,6.671019789,"yes","yes",16,16,16,17,15,218.914291381836
1442,"DI1_2010__Milder",2,10,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 10","DI1_2010__Milder 2 10 Vertebrates","Honduras",-89.104532,14.8475,"Abundance","Intermediate secondary vegetation","Secondary","Light use","01/11/2008","Neotropic","Tropical","Vertebrates",108,4.691347882,26,12,6.663088614,6.663088614,0.935185185,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",862.799987,4.591139,2,1.721183023,6.761341245,"yes","yes",15,15,16.5,17,16,207.628570556641
1443,"DI1_2010__Milder",2,11,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 11","DI1_2010__Milder 2 11 Vertebrates","Honduras",-89.049715,14.872366,"Abundance","Intermediate secondary vegetation","Secondary","Minimal use","01/11/2008","Neotropic","Tropical","Vertebrates",127,4.852030264,33,14,6.700087613,6.700087613,0.732283465,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",779.400024,3.593009,2,1.524535365,6.65980664,"yes","yes",16,16,16,16,12,218.914291381836
1444,"DI1_2010__Milder",2,12,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 12","DI1_2010__Milder 2 12 Vertebrates","Honduras",-89.050214,14.862187,"Abundance","Intermediate secondary vegetation","Secondary","Minimal use","01/11/2008","Neotropic","Tropical","Vertebrates",53,3.988984047,25,16,6.547879326,6.547879326,0.735849057,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",766,4.09425,2,1.628112453,6.642486801,"yes","yes",11,11.5,11,11,10,218.914291381836
1445,"DI1_2010__Milder",2,13,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 13","DI1_2010__Milder 2 13 Vertebrates","Honduras",-89.056816,14.871625,"Abundance","Intermediate secondary vegetation","Secondary","Minimal use","01/11/2008","Neotropic","Tropical","Vertebrates",91,4.521788577,43,19,6.481462049,6.481462049,0.758241758,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",788.200012,4.227749,2,1.653980784,6.671019789,"yes","yes",15.5,15.5,15.5,15.5,14,218.914291381836
1446,"DI1_2010__Milder",2,14,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 14","DI1_2010__Milder 2 14 Vertebrates","Honduras",-89.079648,14.86916,"Abundance","Intermediate secondary vegetation","Secondary","Minimal use","01/11/2008","Neotropic","Tropical","Vertebrates",41,3.737669618,23,16,6.611264263,6.611264263,0.707317073,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",777.599975,4.40313,2,1.686978415,6.657497403,"yes","yes",14,14,15,18,16,218.914291381836
1447,"DI1_2010__Milder",2,15,"DI1_2010__Milder 2 Vertebrates","DI1_2010__Milder 2 Vertebrates NA","DI1_2010__Milder 2 Vertebrates NA 15","DI1_2010__Milder 2 15 Vertebrates","Honduras",-89.081311,14.871097,"Abundance","Intermediate secondary vegetation","Secondary","Minimal use","01/11/2008","Neotropic","Tropical","Vertebrates",90,4.510859507,28,15,6.460787837,6.460787837,0.744444444,"no","OUT","OUT Intermediate secondary vegetation",0,NA,0,NA,NA,0,"outside",786,3.597779,2,1.525573361,6.668228248,"yes","yes",16.5,17,17,19.5,16,218.914291381836
